title,author,isbn,num_pages,avg_rating,rating,review,read_count,date_published,date_started,date_read,date_added,user_id,synced_at
1984,"Orwell, George",,205.0,4.19,,,0,1949-06-08,,,2023-06-13,105421501,2023-07-14 16:33:18.986186
"The Unhoneymooners
        (Unhoneymooners, #1)","Lauren, Christina",,432.0,3.94,,,0,2019-05-14,,,2023-06-12,105421501,2023-07-14 16:33:18.986186
The Invisible Life of Addie LaRue,"Schwab, V.E.",,444.0,4.21,,,0,2020-10-06,,,2023-06-08,105421501,2023-07-14 16:33:18.986186
Yellowface,"Kuang, R.F.",,350.0,4.11,,,0,2023-05-25,,,2023-06-06,105421501,2023-07-14 16:33:18.986186
101 Essays That Will Change The Way You Think,"Wiest, Brianna",,450.0,3.8,,,0,2016-11-14,,,2023-06-06,105421501,2023-07-14 16:33:18.986186
Sea of Tranquility,"Mandel, Emily St. John",,272.0,4.11,,,0,2022-04-05,,,2023-06-05,105421501,2023-07-14 16:33:18.986186
Chaos Kings: How Wall Street Traders Make Billions in the New Age of Crisis,"Patterson, Scott",,336.0,3.76,,,0,,,,2023-06-03,105421501,2023-07-14 16:33:18.986186
Four Thousand Weeks,"Burkeman, Oliver",,304.0,4.24,,,0,2021-08-10,,,2023-06-03,105421501,2023-07-14 16:33:18.986186
Miss Memory Lane: A Memoir,"Haynes, Colton",,256.0,4.29,,,0,2022-05-31,,,2023-06-02,105421501,2023-07-14 16:33:18.986186
"Sing, Unburied, Sing","Ward, Jesmyn",,299.0,4.01,,,0,2017-09-05,,,2023-06-01,105421501,2023-07-14 16:33:18.986186
I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,"Sethi, Ramit",,352.0,4.16,,,0,2009-01-01,,,2023-05-29,105421501,2023-07-14 16:33:18.986186
Listen Like You Mean It: Reclaiming the Lost Art of True Connection,"Vengoechea, Ximena",,336.0,3.83,3.0,,1,,2023-05-22,2023-06-01,2023-05-22,105421501,2023-07-14 16:33:18.986186
"Rogues: True Stories of Grifters, Killers, Rebels and Crooks","Keefe, Patrick Radden",,368.0,4.01,,,0,2022-06-28,,,2023-05-21,105421501,2023-07-14 16:33:18.986186
"Sing, Unburied, Sing","Ward, Jesmyn",,320.0,4.01,,,0,2017-09-05,,,2023-05-01,105421501,2023-07-14 16:33:18.986186
You Have to Be Prepared to Die Before You Can Begin to Live: Ten Weeks in Birmingham That Changed America,"Kix, Paul",,376.0,4.53,,,0,,,,2023-04-28,105421501,2023-07-14 16:33:18.986186
"Good Morning, Monster: A Therapist Shares Five Heroic Stories of Emotional Recovery","Gildiner, Catherine",,368.0,4.46,,,0,2020-09-22,,,2023-04-25,105421501,2023-07-14 16:33:18.986186
Moment of Lift,"Gates, Melinda",,304.0,4.28,,,0,2019-04-23,,,2023-04-24,105421501,2023-07-14 16:33:18.986186
Solito,"Zamora, Javier",,416.0,4.5,,,0,2022-09-06,,,2023-04-24,105421501,2023-07-14 16:33:18.986186
"Ready Player One
        (Ready Player One, #1)","Cline, Ernest",,374.0,4.23,5.0,,1,2011-08-16,2023-04-23,2023-04-28,2023-04-23,105421501,2023-07-14 16:33:18.986186
We Were Liars,"Lockhart, E.",,280.0,3.65,,,0,2018-05-29,,,2023-04-22,105421501,2023-07-14 16:33:18.986186
Remarkably Bright Creatures,"Van Pelt, Shelby",,360.0,4.44,,,0,2022-05-03,,,2023-04-17,105421501,2023-07-14 16:33:18.986186
The Sympathizer,"Nguyen, Viet Thanh",,371.0,4.0,,,0,2015-04-02,,,2023-04-17,105421501,2023-07-14 16:33:18.986186
Diary of an Invasion,"Kurkov, Andrey",,304.0,4.3,,,0,2022-09-29,,,2023-04-15,105421501,2023-07-14 16:33:18.986186
Take My Hand,"Perkins-Valdez, Dolen",,384.0,4.39,,,0,2022-04-12,,,2023-04-14,105421501,2023-07-14 16:33:18.986186
"Conviction
        (Anna and Fin, #1)","Mina, Denise",,376.0,3.54,,,0,2019-05-16,,,2023-04-13,105421501,2023-07-14 16:33:18.986186
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence","Pollan, Michael",,480.0,4.26,,,0,2018-05-15,,,2023-04-13,105421501,2023-07-14 16:33:18.986186
The Midnight Library,"Haig, Matt",,304.0,4.01,,,0,2020-08-13,,,2023-04-12,105421501,2023-07-14 16:33:18.986186
The Door of No Return,"Alexander, Kwame",,432.0,4.38,,,0,2022-09-27,,,2023-04-04,105421501,2023-07-14 16:33:18.986186
The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,"Freedland, Jonathan",,416.0,4.43,,,0,2022-10-18,,,2023-04-04,105421501,2023-07-14 16:33:18.986186
Solito,"Zamora, Javier",,477.0,4.5,,,1,2022-09-06,2023-06-12,,2023-04-04,105421501,2023-07-14 16:33:18.986186
Sicker in the Head: More Conversations About Life and Comedy,"Apatow, Judd",,528.0,3.81,,,0,2022-03-29,,,2023-03-28,105421501,2023-07-14 16:33:18.986186
Over the Top: A Raw Journey to Self-Love,"Van Ness, Jonathan",,269.0,4.2,4.0,,1,2019-09-24,2023-03-29,2023-04-02,2023-03-27,105421501,2023-07-14 16:33:18.986186
Being Mortal: Medicine and What Matters in the End,"Gawande, Atul",,282.0,4.48,4.0,,1,2014-10-07,2023-03-23,2023-03-25,2023-03-23,105421501,2023-07-14 16:33:18.986186
Maybe in Another Life,"Reid, Taylor Jenkins",,342.0,3.81,,,0,2015-07-07,,,2023-03-21,105421501,2023-07-14 16:33:18.986186
One True Loves,"Reid, Taylor Jenkins",,352.0,4.08,3.0,,1,2016-06-07,2023-03-25,2023-03-29,2023-03-21,105421501,2023-07-14 16:33:18.986186
Undercooked: How I Let Food Become My Life Navigator and How Maybe That's a Dumb Way to Live,"Ahdoot, Dan",,240.0,3.75,,,0,2023-03-21,,,2023-03-13,105421501,2023-07-14 16:33:18.986186
You Have to Be Prepared to Die Before You Can Begin to Live: Ten Weeks in Birmingham That Changed America,"Kix, Paul",,400.0,4.53,,,0,,,,2023-03-13,105421501,2023-07-14 16:33:18.986186
Abroad,"Bryan, Greyson",,355.0,4.55,,,0,,,,2023-03-13,105421501,2023-07-14 16:33:18.986186
Flux,"Chong, Jinwoo",,341.0,3.44,,,0,2023-03-21,,,2023-03-13,105421501,2023-07-14 16:33:18.986186
Children of the State: Stories of Survival and Hope in the Juvenile Justice System,"Hobbs, Jeff",,384.0,4.03,,,0,2023-01-24,,,2023-03-13,105421501,2023-07-14 16:33:18.986186
The Last Thing He Told Me,"Dave, Laura",,336.0,3.86,4.0,,1,2021-05-04,2023-04-12,2023-04-13,2023-03-13,105421501,2023-07-14 16:33:18.986186
Uncommon Type,"Hanks, Tom",,403.0,3.43,,,0,2017-10-17,,,2023-03-13,105421501,2023-07-14 16:33:18.986186
The Midnight News,"Baker, Jo",,322.0,3.79,,,0,2023-03-28,,,2023-03-13,105421501,2023-07-14 16:33:18.986186
In My Dreams I Hold a Knife,"Winstead, Ashley",,336.0,3.9,,,0,2021-08-03,,,2023-03-13,105421501,2023-07-14 16:33:18.986186
"Speak, Okinawa: A Memoir","Brina, Elizabeth Miki",,304.0,4.23,,,0,2021-02-23,,,2023-03-09,105421501,2023-07-14 16:33:18.986186
The Master: The Brilliant Career of Roger Federer,"Clarey, Christopher",,412.0,4.19,,,0,2021-08-01,,,2023-03-08,105421501,2023-07-14 16:33:18.986186
"The Maid
        (Molly the Maid, #1)","Prose, Nita",,304.0,3.81,3.0,,1,2022-01-04,2023-03-07,2023-03-15,2023-03-07,105421501,2023-07-14 16:33:18.986186
Painting As a Pastime,"Churchill, Winston S.",,49.0,4.36,,,0,1948-01-01,,,2023-03-07,105421501,2023-07-14 16:33:18.986186
Peach Blossom Spring,"Fu, Melissa",,400.0,4.2,,,0,2022-03-15,,,2023-03-01,105421501,2023-07-14 16:33:18.986186
The Anthropocene Reviewed: Essays on a Human-Centered Planet,"Green, John",,318.0,4.37,,,0,2021-05-18,,,2023-03-01,105421501,2023-07-14 16:33:18.986186
Four Thousand Weeks: Time Management for Mortals,"Burkeman, Oliver",,273.0,4.24,5.0,,1,2021-08-10,2023-02-24,2023-03-08,2023-02-24,105421501,2023-07-14 16:33:18.986186
Mad Honey,"Picoult, Jodi",,464.0,4.15,,,0,2022-10-04,,,2023-02-24,105421501,2023-07-14 16:33:18.986186
Die with Zero: Getting All You Can from Your Money and Your Life,"Perkins, Bill",,240.0,3.95,,,0,2020-07-28,,,2023-02-10,105421501,2023-07-14 16:33:18.986186
The Creative Act: A Way of Being,"Rubin, Rick",,406.0,4.17,,,0,2023-01-17,,,2023-02-04,105421501,2023-07-14 16:33:18.986186
"Ask Again, Yes","Keane, Mary Beth",,399.0,3.94,,,0,2019-05-28,,,2023-02-01,105421501,2023-07-14 16:33:18.986186
"Wilful Blindness: How a Criminal Network of Narcos, Tycoons and CCP Agents Infiltrated the West","Cooper, Sam",,472.0,4.17,,,0,2021-05-04,,,2023-01-31,105421501,2023-07-14 16:33:18.986186
Four Thousand Weeks: Time Management for Mortals,"Burkeman, Oliver",,290.0,4.24,,,0,2021-08-10,,,2023-01-31,105421501,2023-07-14 16:33:18.986186
"Can We Talk About Israel?: A Guide for the Curious, Confused, and Conflicted","Sokatch, Daniel",,384.0,4.32,,,0,2021-08-25,,,2023-01-28,105421501,2023-07-14 16:33:18.986186
"Of Boys and Men: Why the Modern Male Is Struggling, Why It Matters, and What to Do about It","Reeves, Richard V.",,298.0,4.15,,,0,2022-09-27,,,2023-01-27,105421501,2023-07-14 16:33:18.986186
"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture","Maté, Gabor",,576.0,4.33,,,0,2022-09-13,,,2023-01-27,105421501,2023-07-14 16:33:18.986186
The Good Enough Job: Reclaiming Life from Work,"Stolzoff, Simone",,272.0,4.32,,,0,,,,2023-01-25,105421501,2023-07-14 16:33:18.986186
Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,"Marshall, Tim",,256.0,4.2,,,0,2015-07-09,,,2023-01-25,105421501,2023-07-14 16:33:18.986186
The Anatomy of the Swipe: Making Money Move,"Siddiqui, Ahmed",,242.0,4.22,,,0,,,,2023-01-25,105421501,2023-07-14 16:33:18.986186
Africa Is Not a Country: Notes on a Bright Continent,"Faloyin, Dipo",,400.0,4.46,,,1,2022-04-07,2023-04-12,,2023-01-23,105421501,2023-07-14 16:33:18.986186
All I Want To Know Is Where I'm Going To Die So I'll Never Go There,"Bevelin, Peter",,280.0,4.64,,,0,,,,2023-01-19,105421501,2023-07-14 16:33:18.986186
"Beartown
        (Beartown, #1)","Backman, Fredrik",,432.0,4.29,,,0,2016-09-15,,,2023-01-18,105421501,2023-07-14 16:33:18.986186
When Things Fall Apart: Heart Advice for Difficult Times,"Chödrön, Pema",,148.0,4.28,,,0,1996-12-24,,,2023-01-18,105421501,2023-07-14 16:33:18.986186
War on Peace: The End of Diplomacy and the Decline of American Influence,"Farrow, Ronan",,392.0,4.16,,,0,2018-04-24,,,2023-01-14,105421501,2023-07-14 16:33:18.986186
"Freezing Order: A True Story of Money Laundering, Murder, and Surviving Vladimir Putin's Wrath","Browder, Bill",,336.0,4.33,4.0,,1,2022-04-12,2023-01-27,2023-01-31,2023-01-12,105421501,2023-07-14 16:33:18.986186
The Art of Stillness: Adventures in Going Nowhere,"Iyer, Pico",,96.0,3.71,,,0,2014-11-04,,,2023-01-11,105421501,2023-07-14 16:33:18.986186
"Fatty Fatty Boom Boom: A Memoir of Food, Fat, and Family","Chaudry, Rabia",,352.0,4.1,,,0,,,,2023-01-11,105421501,2023-07-14 16:33:18.986186
"Things We Never Got Over
        (Knockemout, #1)","Score, Lucy",,572.0,4.22,,,0,2022-01-12,,,2023-01-09,105421501,2023-07-14 16:33:18.986186
Spare,Prince Harry,,410.0,3.92,,,0,2023-01-10,,,2023-01-06,105421501,2023-07-14 16:33:18.986186
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,"Haidt, Jonathan",,352.0,4.25,4.0,,1,2018-07-17,2023-01-15,2023-01-21,2023-01-04,105421501,2023-07-14 16:33:18.986186
Exhalation,"Chiang, Ted",,368.0,4.28,,,0,2019-05-07,,,2022-12-30,105421501,2023-07-14 16:33:18.986186
"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle",,401.0,4.23,5.0,,1,2022-07-05,2023-03-11,2023-04-07,2022-12-29,105421501,2023-07-14 16:33:18.986186
"The Comfort Crisis: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self","Easter, Michael",,304.0,4.37,4.0,,1,,2023-02-17,2023-02-23,2022-12-29,105421501,2023-07-14 16:33:18.986186
Ugly Love,"Hoover, Colleen",,333.0,4.11,5.0,,1,2014-08-05,2022-12-27,2022-12-27,2022-12-27,105421501,2023-07-14 16:33:18.986186
Figuring,"Popova, Maria",,578.0,4.34,,,0,2019-02-05,,,2022-12-25,105421501,2023-07-14 16:33:18.986186
Liberation Day: Stories,"Saunders, George",,256.0,4.0,,,0,2022-10-18,,,2022-12-24,105421501,2023-07-14 16:33:18.986186
The Light We Carry: Overcoming in Uncertain Times,"Obama, Michelle",,319.0,4.29,5.0,,1,2022-11-15,2023-01-10,2023-01-13,2022-12-24,105421501,2023-07-14 16:33:18.986186
Sea of Tranquility,"Mandel, Emily St. John",,259.0,4.11,,,0,2022-04-05,,,2022-12-24,105421501,2023-07-14 16:33:18.986186
For the Love of Men: A New Vision for Mindful Masculinity,"Plank, Liz",,325.0,4.3,,,0,2019-09-10,,,2022-12-21,105421501,2023-07-14 16:33:18.986186
The White Pill: A Tale of Good and Evil,"Malice, Michael",,371.0,4.52,,,0,2022-12-03,,,2022-12-18,105421501,2023-07-14 16:33:18.986186
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,"Brown, Brené",,301.0,4.33,,,0,2021-11-30,,,2022-12-18,105421501,2023-07-14 16:33:18.986186
A Life on Our Planet: My Witness Statement and a Vision for the Future,"Attenborough, David",,272.0,4.52,,,0,2020-10-01,,,2022-12-14,105421501,2023-07-14 16:33:18.986186
The 5 Love Languages: The Secret to Love that Lasts,"Chapman, Gary",,232.0,4.27,4.0,,1,,2022-12-14,2022-12-18,2022-12-14,105421501,2023-07-14 16:33:18.986186
Fight Night,"Toews, Miriam",,255.0,4.04,,,0,2021-10-05,,,2022-11-25,105421501,2023-07-14 16:33:18.986186
The Gene: An Intimate History,"Mukherjee, Siddhartha",,592.0,4.35,,,0,2016-06-02,,,2022-11-18,105421501,2023-07-14 16:33:18.986186
Lessons in Chemistry,"Garmus, Bonnie",,400.0,4.33,5.0,,1,2022-03-31,2023-01-19,2023-01-26,2022-11-17,105421501,2023-07-14 16:33:18.986186
Token Black Girl: A Memoir,"Prescod, Danielle",,256.0,3.96,,,0,2022-10-01,,,2022-11-17,105421501,2023-07-14 16:33:18.986186
Stay True: A Memoir,"Hsu, Hua",,312.0,4.05,4.0,,1,2022-09-27,2023-04-24,2023-05-05,2022-11-17,105421501,2023-07-14 16:33:18.986186
Uncultured: A Memoir,"Young, Daniella Mestyanek",,339.0,4.04,2.0,,1,2022-09-20,2023-01-01,2023-01-03,2022-11-17,105421501,2023-07-14 16:33:18.986186
Stolen Focus: Why You Can't Pay Attention- and How to Think Deeply Again,"Hari, Johann",,357.0,4.26,3.0,,1,2022-01-06,2023-04-03,2023-04-11,2022-11-17,105421501,2023-07-14 16:33:18.986186
Peach Blossom Spring,"Fu, Melissa",,400.0,4.2,,,0,2022-03-15,,,2022-11-17,105421501,2023-07-14 16:33:18.986186
Take My Hand,"Perkins-Valdez, Dolen",,359.0,4.39,,,0,2022-04-12,,,2022-11-17,105421501,2023-07-14 16:33:18.986186
Young Mungo,"Stuart, Douglas",,390.0,4.38,,,0,2022-04-05,,,2022-11-17,105421501,2023-07-14 16:33:18.986186
Our Missing Hearts,"Ng, Celeste",,352.0,3.83,3.0,,1,2022-10-04,2023-01-03,2023-01-19,2022-11-17,105421501,2023-07-14 16:33:18.986186
The Righteous Mind: Why Good People Are Divided by Politics and Religion,"Haidt, Jonathan",,419.0,4.21,,,0,2012-03-13,,,2022-11-02,105421501,2023-07-14 16:33:18.986186
Cinema Speculation,"Tarantino, Quentin",,391.0,4.07,,,0,2022-10-01,,,2022-11-02,105421501,2023-07-14 16:33:18.986186
"Friends, Lovers, and the Big Terrible Thing","Perry, Matthew",,250.0,3.72,4.0,,1,2022-11-01,2023-02-14,2023-02-20,2022-10-27,105421501,2023-07-14 16:33:18.986186
November 9,"Hoover, Colleen",,310.0,4.19,,,0,2015-11-10,,,2022-10-25,105421501,2023-07-14 16:33:18.986186
We Were the Lucky Ones,"Hunter, Georgia",,403.0,4.41,,,0,2017-02-14,,,2022-10-25,105421501,2023-07-14 16:33:18.986186
How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,"Greger, Michael",,576.0,4.44,,,0,2015-12-08,,,2022-10-20,105421501,2023-07-14 16:33:18.986186
Principles For Dealing With the Changing World Order: Why Nations Succeed and Fail,"Dalio, Ray",,576.0,4.3,,,0,,,,2022-10-13,105421501,2023-07-14 16:33:18.986186
Boldly Go: Reflections on a Life of Awe and Wonder,"Shatner, William",,256.0,3.89,,,0,2022-10-04,,,2022-10-10,105421501,2023-07-14 16:33:18.986186
Happy People Are Annoying,"Peck, Josh",,272.0,4.1,5.0,,1,2022-03-15,2023-01-31,2023-02-02,2022-10-08,105421501,2023-07-14 16:33:18.986186
"The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made","Sestero, Greg",,270.0,4.28,,,0,2013-10-01,,,2022-10-04,105421501,2023-07-14 16:33:18.986186
Sharp Objects,"Flynn, Gillian",,254.0,4.01,,,0,2006-09-26,,,2022-10-03,105421501,2023-07-14 16:33:18.986186
"The Greatest Beer Run Ever: A Memoir of Friendship, Loyalty, and War","Donohue, John ""Chick""",,272.0,3.93,,,0,2017-05-02,,,2022-10-01,105421501,2023-07-14 16:33:18.986186
Tell Me Lies,"Lovering, Carola",,352.0,3.5,3.0,,1,2018-06-12,2022-09-28,2022-10-21,2022-09-28,105421501,2023-07-14 16:33:18.986186
The Power of Regret: How Looking Backward Moves Us Forward,"Pink, Daniel H.",,239.0,3.85,2.0,,1,2022-02-01,,2022-09-26,2022-09-26,105421501,2023-07-14 16:33:18.986186
Malibu Rising,"Reid, Taylor Jenkins",,369.0,4.06,5.0,,1,2021-05-27,2023-02-02,2023-03-21,2022-09-22,105421501,2023-07-14 16:33:18.986186
Caste: The Origins of Our Discontents,"Wilkerson, Isabel",,496.0,4.54,4.0,,1,2020-08-04,2023-02-02,2023-02-13,2022-09-22,105421501,2023-07-14 16:33:18.986186
"Money Men: A Hot Startup, A Billion Dollar Fraud, A Fight for the Truth","McCrum, Dan",,352.0,4.11,,,0,,,,2022-09-21,105421501,2023-07-14 16:33:18.986186
"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street","Kolhatkar, Sheelah",,295.0,4.19,,,0,2017-02-07,,,2022-09-21,105421501,2023-07-14 16:33:18.986186
"Wealth, Actually: Intelligent Decision-Making for the 1%","Rice, Frazer",,356.0,4.14,,,0,,,,2022-09-08,105421501,2023-07-14 16:33:18.986186
Confess,"Hoover, Colleen",,306.0,4.14,,,0,2015-03-10,,,2022-09-08,105421501,2023-07-14 16:33:18.986186
Soul in the Game: The Art of a Meaningful Life,"Katsenelson, Vitaliy",,304.0,4.28,,,0,,,,2022-09-02,105421501,2023-07-14 16:33:18.986186
We Were Dreamers: An Immigrant Superhero Origin Story,"Liu, Simu",,320.0,4.39,4.0,,1,2022-05-17,2022-12-08,2022-12-09,2022-08-26,105421501,2023-07-14 16:33:18.986186
"It Starts with Us
        (It Ends with Us, #2)","Hoover, Colleen",,336.0,3.92,4.0,,1,2022-10-18,2022-10-24,2022-11-16,2022-08-23,105421501,2023-07-14 16:33:18.986186
Sicker in the Head: More Conversations About Life and Comedy,"Apatow, Judd",,454.0,3.81,,,0,2022-03-29,,,2022-08-23,105421501,2023-07-14 16:33:18.986186
I'm Glad My Mom Died,"McCurdy, Jennette",,320.0,4.5,5.0,,1,2022-08-09,2022-09-22,2022-09-25,2022-08-18,105421501,2023-07-14 16:33:18.986186
The Book Thief,"Zusak, Markus",,552.0,4.39,,,0,2006-03-01,,,2022-08-16,105421501,2023-07-14 16:33:18.986186
A World Without Email: Reimagining Work in an Age of Communication Overload,"Newport, Cal",,320.0,3.9,,,0,2021-03-02,,,2022-08-14,105421501,2023-07-14 16:33:18.986186
"It Ends with Us
        (It Ends with Us, #1)","Hoover, Colleen",,386.0,4.24,5.0,,1,2016-08-02,2022-09-01,2022-09-02,2022-08-14,105421501,2023-07-14 16:33:18.986186
The Founders: The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley,"Soni, Jimmy",,496.0,4.23,5.0,,1,2022-02-01,2022-08-08,2022-08-26,2022-08-08,105421501,2023-07-14 16:33:18.986186
Carrie Soto Is Back,"Reid, Taylor Jenkins",,384.0,4.23,5.0,,1,2022-08-30,2022-10-22,2022-10-24,2022-08-08,105421501,2023-07-14 16:33:18.986186
Start with Why: How Great Leaders Inspire Everyone to Take Action,"Sinek, Simon",,256.0,4.1,,,0,2009-10-29,,,2022-08-02,105421501,2023-07-14 16:33:18.986186
The Crossroads of Should and Must: Find and Follow Your Passion,"Luna, Elle",,161.0,3.97,,,0,2015-04-07,,,2022-08-01,105421501,2023-07-14 16:33:18.986186
This Golden State,"Weisenberg, Marit",,400.0,4.11,4.0,,1,2022-03-01,2022-07-28,2022-07-28,2022-07-28,105421501,2023-07-14 16:33:18.986186
Willful Blindness: Why We Ignore the Obvious at Our Peril,"Heffernan, Margaret",,304.0,4.06,,,0,2011-02-01,,,2022-07-25,105421501,2023-07-14 16:33:18.986186
The Looming Tower: Al-Qaeda and the Road to 9/11,"Wright, Lawrence",,469.0,4.35,,,0,2006-08-08,,,2022-07-23,105421501,2023-07-14 16:33:18.986186
Safe Haven: Investing for Financial Storms,"Spitznagel, Mark",,240.0,3.99,,,0,,,,2022-07-16,105421501,2023-07-14 16:33:18.986186
What We Don't Talk About When We Talk About Fat,"Gordon, Aubrey",,203.0,4.44,2.0,,1,2020-11-17,2022-10-26,2022-10-26,2022-07-16,105421501,2023-07-14 16:33:18.986186
"How the World Really Works: A Scientist's Guide to Our Past, Present and Future","Smil, Vaclav",,,3.99,,,0,2022-05-10,,,2022-07-15,105421501,2023-07-14 16:33:18.986186
Burn Rate: Launching a Startup and Losing My Mind,"Dunn, Andy",,304.0,4.43,5.0,,1,,2022-10-04,2022-10-06,2022-07-10,105421501,2023-07-14 16:33:18.986186
Apeirogon,"McCann, Colum",,15.0,4.22,,,0,2020-02-25,,,2022-06-26,105421501,2023-07-14 16:33:18.986186
Dopamine Nation: Finding Balance in the Age of Indulgence,"Lembke, Anna",,305.0,3.93,,,0,2021-06-01,,,2022-06-21,105421501,2023-07-14 16:33:18.986186
The War on the West,"Murray, Douglas",,308.0,4.3,,,0,2022-04-26,,,2022-06-21,105421501,2023-07-14 16:33:18.986186
"Thud!
        (Discworld, #34; City Watch, #7)","Pratchett, Terry",,439.0,4.34,,,0,2005-01-01,,,2022-06-20,105421501,2023-07-14 16:33:18.986186
Stiff: The Curious Lives of Human Cadavers,"Roach, Mary",,303.0,4.06,,,0,2003-04-17,,,2022-06-18,105421501,2023-07-14 16:33:18.986186
"Invisible Child: Poverty, Survival & Hope in an American City","Elliott, Andrea",,602.0,4.72,,,0,2021-10-05,,,2022-06-18,105421501,2023-07-14 16:33:18.986186
Memory Speaks: On Losing and Reclaiming Language and Self,"Sedivy, Julie",,368.0,4.1,,,0,,,,2022-06-18,105421501,2023-07-14 16:33:18.986186
Trick Mirror: Reflections on Self-Delusion,"Tolentino, Jia",,303.0,4.07,,,0,2019-08-06,,,2022-06-18,105421501,2023-07-14 16:33:18.986186
"Black Skin, White Masks","Fanon, Frantz",,232.0,4.27,,,0,,,,2022-06-18,105421501,2023-07-14 16:33:18.986186
Minor Detail,"Shibli, Adania",,144.0,3.96,,,0,2017-06-19,,,2022-06-18,105421501,2023-07-14 16:33:18.986186
The Amazing Adventures of Kavalier & Clay,"Chabon, Michael",,639.0,4.18,,,0,2000-09-19,,,2022-06-18,105421501,2023-07-14 16:33:18.986186
How to Quiet a Vampire: A Sotie,"Pekić, Borislav",,432.0,4.45,,,0,,,,2022-06-18,105421501,2023-07-14 16:33:18.986186
